osm_id,osm_type,IBGE:GEOCODIGO,addr:state,addr:state_code,admin_level,alt_name,boundary,fixme,flag,is_in:country,iso3166-2,name,name:ab,name:am,name:ar,name:ay,name:az,name:ba,name:be,name:bg,name:bn,name:br,name:ca,name:ce,name:cv,name:cz,name:de,name:dv,name:el,name:en,name:eo,name:es,name:et,name:eu,name:fa,name:fr,name:fy,name:gl,name:gn,name:he,name:hi,name:hr,name:hy,name:ia,name:id,name:io,name:it,name:ja,name:ka,name:kk,name:ko,name:ku,name:kv,name:kw,name:ky,name:la,name:lt,name:lv,name:mk,name:ml,name:mn,name:mr,name:ms,name:ne,name:nl,name:oc,name:os,name:pa,name:pl,name:pt,name:qu,name:ro,name:ru,name:sa,name:sh,name:sq,name:sr,name:sv,name:ta,name:tg,name:th,name:tk,name:tr,name:tt,name:ug,name:uk,name:ur,name:uz,name:vi,name:wa,name:yi,name:yo,name:zh,note,place,ref,short_name,source,source:name,timezone,type,website,wikidata,wikipedia
303702,relation,26,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_de_Pernambuco.svg,Brazil,BR-PE,Pernambuco,,,بيرنامبوكو,,,,Пернамбуку,Пернамбуко,,,,,,,Pernambuco,,,Pernambuco,Pernambuko,,,,پرنامبوکو,Pernambouc,,,,פרנמבוקו,पेरनाम्बुको,,Պերնամբուկու,,,,,ペルナンブーコ,პერნამბუკუ,,페르남부쿠,,,,,Pernambucum,Pernambukas,Pernambuku,Пернамбуко,,,पर्नांबुको,,,,,Пернамбуку,,Pernambuco,Pernambuco,,,Пернамбуку,,,,Пернамбуко,,,Пернамбуку,เปร์นัมบูกู,,,,,Пернамбуку,,Prenambuku,,,,,伯南布哥,,state,PE,PE,IBGE,,America/Recife,boundary,http://www.pe.gov.br/,Q40942,pt:Pernambuco
303781,relation,27,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/8/88/Bandeira_de_Alagoas.svg,Brazil,BR-AL,Alagoas,,,ألاغواس,,,,Алагоас,Алагоас,,,,,,,Alagoas,,,Alagoas,Alagoaso,,,,آلاگواس,,,,,אלגואס,अलागोआस,,Ալագոաս,,,,,アラゴアス,ალაგოასი,,알라고아스,,,,,Alacunae,Alagoasas,Alagoasa,Алагојас,,,आलागोआस,,,,,Алагоас,,Alagoas,Alagoas,,,Алагоас,,,,Алагоас,,,Алагоас,อาลาโกอัส,,,,,Алагоас,,,,,,,阿拉戈斯,,state,AL,AL,IBGE,,America/Maceio,boundary,http://www.agenciaalagoas.al.gov.br/,Q40885,pt:Alagoas
303940,relation,28,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/b/be/Bandeira_de_Sergipe.svg,Brazil,BR-SE,Sergipe,,,سيرجيبي,,,,Сержыпі,Сержипи,,,,,,,Sergipe,,,Sergipe,Serĝipo,,,,سرژیپه,,,,,סרז'יפה,सर्जिपे,,Սերժիպի,,,,,セルジッペ,სერჟიპი,,세르지피,,,,,Seregipe,Seržipė,Seržipi,Сергипе,,,सर्जिपे,,,,,Сержипи,,Sergipe,Sergipe,,,Сержипи,,Seržipi,,Сержипе,,,Сержипи,เซร์ชิเป,,,,,Сержипі,,Serjipi,,,,,塞尔希培,,state,SE,SE,IBGE,,America/Maceio,boundary,http://www.se.gov.br/,Q43783,pt:Sergipe
315173,relation,31,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bandeira_de_Minas_Gerais.svg,Brazil,BR-MG,Minas Gerais,,,ميناس جيرايس,,,,Мінас-Жэрайс,Минас Жерайс,,,,,,,Minas Gerais,,,Minas Gerais,Minas-Ĝerajso,,,,میناس گرایس,,,Minas Xerais,,מינאס ז'ראיס,मिनास जेरायज़,,Մինաս Ժերայս,,,,,ミナスジェライス,მინას-ჟერაისი,,미나스제라이스,Minas Grais,,,,Fodinae Generales,Minas Žeraisas,Minasžeraisa,Минаш Жераис,,,मिनास जेराईस,,,,,Минас-Жерайс,,Minas Gerais,Minas Gerais,,,Минас-Жерайс,,,,Минас Жераис,,,Минас Жерайс,มีนัสเชไรส์,,,,,Мінас-Жерайс,,Minas-Jerays,,,,,米纳斯吉拉斯,,state,MG,MG,IBGE,,America/Sao_Paulo,boundary,http://www.mg.gov.br/,Q39109,pt:Minas Gerais
325866,relation,11,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Bandeira_de_Rond%C3%B4nia.svg,Brazil,BR-RO,Rondônia,,,روندونيا,,,,Рандонія,Рондония,,,,,,,Rondônia,,,Rondônia,Rondonio,Rondonia,,,روندونیا,,,Rondonia,,רונדוניה,रोन्डोनिया,,Ռոնդոնիա,,,Rondonia,,ロンドニア,რონდონია,,혼도니아,,,,,Rondonia,Rondonija,Rondonija,Рондонија,,,रोन्द्योनिया,,,,,Рондони,,Rondônia,Rondônia,,,Рондония,,Rondonija,,Рондонија,,,Рондония,รอนโดเนีย,,,,,Рондонія,,Pondoniya,,,,,朗多尼亚,,state,RO,RO,IBGE,,America/Porto_Velho,boundary,http://www.rondonia.ro.gov.br/,Q43235,pt:Rondônia
326266,relation,12,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bandeira_do_Acre.svg,Brazil,BR-AC,Acre,,,أكري,,,,Акры,Акри,,,,,,,Acre,,,Acre,Akro,,,,اکری,,,,Akre,אקרי,आक्री,,Ակրի,,,,,アクレ,აკრი,,아크리,,,,,,Akrė,Akri,Акре,അക്രേ,,आक्रे,,,,,Акри,,Acre,Acre,Aqri,,Акри,,,,Акре,,,Акри,อาเกร,,,,,Акрі,,Akri,,,,,阿克里,,state,AC,AC,IBGE,,America/Rio_Branco,boundary,http://www.ac.gov.br/,Q40780,pt:Acre
331463,relation,16,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bandeira_do_Amap%C3%A1.svg,Brazil,BR-AP,Amapá,,,أمابا,,,,Амапа,Амапа,,,,,,,Amapá,,,Amapá,Amapao,,,,آماپا,,,,Amapa,אמאפה,अमापा,,Ամապա,,,,,アマパー,ამაპა,Амапа,아마파,,,,,Amapa,Amapa,Amapa,Амапа,,,अमापा,,,,,Амапа,,Amapá,Amapá,,,Амапа,,Amapa,,Амапа,,,Амапа,อามาปา,,,,,Амапа,,Amapa,,,,,阿马帕,,state,AP,AP,IBGE,,America/Belem,boundary,http://www.ap.gov.br/,Q40130,pt:Amapá
332476,relation,13,,,4,,administrative,Revisar: Cambio por importacion directa de nuevos limites en Colombia,https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg,Brazil,BR-AM,Amazonas,,,الأمازون,,,,Амазонас,Амазонас,,,Amazones,,,,Amazonas,,,Amazonas,Amazonio,,,,آمازوناس,,,,,אמזונאס,आमेज़ोनास,,Ամազոնաս,,,,,アマゾナス,ამაზონასი,,아마조나스,,,,,Amazones,Amazonė,Amazonasa,Амазон,,,अमेझोनास,,,,,Амазонас,,Amazonas,Amazonas,Amarumayu,,Амазонас,,,,Амазонас,,,Амазонас,อามาโซนัส,,,,,Амазонас,,,,,,,亚马孙,,state,AM,AM,IBGE,,,boundary,http://www.amazonas.am.gov.br/,Q40040,pt:Amazonas
332924,relation,21,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/4/45/Bandeira_do_Maranh%C3%A3o.svg,Brazil,BR-MA,Maranhão,,,مارانهاو,,,,Мараньян,Мараняо,,,,,,,Maranhão,,,Maranhão,Maranjo,,,,مارانیائو,,,Marañón,,מרניאו,मरान्हाओ,,Մարանյան,,,,,マラニョン,მარანიანი,Мараньян,마라냥,,,,,Maragnanum,Maranjanas,Maraņauna,Марањао,,,मरान्याव,,,,,Мараньян,,Maranhão,Maranhão,,,Мараньян,,Maranjao,,Марањаоps a,,,Маранян,มารันเยา,,,,,Мараньян,,Maranyan,,,,,马拉尼昂,,state,MA,MA,IBGE,,America/Fortaleza,boundary,http://www.ma.gov.br/,Q42362,pt:Maranhão
333597,relation,51,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Bandeira_de_Mato_Grosso.svg,Brazil,BR-MT,Mato Grosso,,,ماتو غروسو,,,,Мату-Гросу,Мато Гросо,,,,,,,Mato Grosso,,,Mato Grosso,Mato-Groso,,,,ماتو گروسو,,,Mato Groso,,מאטו גרוסו,मातो ग्रोसो,,Մատու Գրոսու,,,,,マットグロッソ,მატუ-გროსუ,,마투그로수,,,,,Silva Crassa,Mato Grosas,Matugrosu,Мато Грошо,,,मातो ग्रोसो,,,,,Мату-Гросу,,Mato Grosso,Mato Grosso,,,Мату-Гросу,,Matu Grosu,,Мато Гросо,,,Мату Гросу,มาตูโกรสซู,,,,,Мату-Гросу,,Matu-Grosu,,,,,马托格罗索,,state,MT,MT,IBGE,,America/Cuiaba,boundary,http://www.mt.gov.br/,Q42824,pt:Mato Grosso
334051,relation,50,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg,Brazil,BR-MS,Mato Grosso do Sul,,,ماتو غروسو دو سول,,,,Мату-Гросу-ду-Сул,Мато Гросо до Сул,,,,,,,Mato Grosso do Sul,,,Mato Grosso do Sul,Suda Mato-Groso,Mato Grosso del Sur,,Hegoaldeko Mato Grosso,ماتوگروسو جنوبی,,,Mato Groso do Sur,,מאטו גרוסו דו סול,मातो ग्रोसो दो सुल,,Մատու Գրոսու դու Սուլ,,,,,マットグロッソ・ド・スル,მატუ-გროსუ-დუ-სული,,마투그로수두술,,,,,Silva Crassa Meridionalis,Pietų Mato Grosas,Matugrosu du Sula,Јужна Мато Грошо,,,मातो ग्रोसो दो सुल,,,,,Мату-Гросу-ду-Сул,,Mato Grosso do Sul,Mato Grosso do Sul,Urin Mato Grosso,,Мату-Гросу-ду-Сул,,Matu Grosu du Sul,,Мато Гросо до Сул,,,Мату Гросу ду Сул,มาตูโกรสซูโดซูล,,,,,Мату-Гросу-ду-Сул,,Matu-Grosu-du-Sul,,,,,南马托格罗索,,state,MS,MS,IBGE,,America/Campo_Grande,boundary,http://www.ms.gov.br/,Q43319,pt:Mato Grosso do Sul
334443,relation,52,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Bandeira_de_Goi%C3%A1s.svg,Brazil,BR-GO,Goiás,,,غوياس,,,,Гаяс,Гояс,,,,,,,Goiás,,,Goiás,Gojaso,,,,گوییاس,,,,,גויאס,गोइयास,,Գոյաս,,,,,ゴイアス,გოიასი,,고이아스,,,,,Goyas,Gojasas,Gojasa,Гојаш,,,गोयाएस,,,,,Гояс,,Goiás,Goiás,,,Гояс,,Gojas,,Гојас,,,Гояс,โกยาส,,,,,Гояс,,Goyas,,,,,戈亚斯,,state,GO,GO,IBGE,,America/Sao_Paulo,boundary,http://www.goias.gov.br/,Q41587,pt:Goiás
336819,relation,17,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bandeira_do_Tocantins.svg,Brazil,BR-TO,Tocantins,,,توكانتينس,,,,Такантынс,Токантинс,,,,,,,Tocantins,,,Tocantins,Tokantinso,,,,توکانتینس,,,,Tukãtĩ,טוקנטינס,टोकाचिस,,Տոկանտինս,,,,,トカンティンス,ტოკანტინსი,,토칸칭스,,,,,,Tokantinsas,Tokantinsa,Токантинс,,,तोकांतिन्स,,,,,Токантинс,,Tocantins,Tocantins,,,Токантинс,,Tokantins,,Токантинс,,,Токантинс,โตกันตินส์,,,,,Токантінс,,Tokantins,,,,,托坎廷斯,,state,TO,TO,IBGE,,America/Araguaina,boundary,http://www.to.gov.br/,Q43695,pt:Tocantins
362413,relation,29,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/2/28/Bandeira_da_Bahia.svg,Brazil,BR-BA,Bahia,,,باهيا,,,,Баія,Баия,,,,,,,Bahia,,,Bahia,Bahio,Bahía,,,باهیا,,,Baía,,באהיה,बाहिया,,Բաիա,,,,,バイーア,ბაია,,바이아,,,,,,Bahija,Baija,Баја,,,बाईया,,,,,Баия,,Bahia,Bahia,,,Баия,,,,Баија,,,Баия,บาเยีย,,,,,Баїя,,Baiya,,,,,巴伊亚,,state,BA,BA,IBGE,,America/Bahia,boundary,http://www.ba.gov.br/,Q40430,pt:Bahia
421151,relation,53,,,4,Brasília,administrative,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg,Brazil,BR-DF,Distrito Federal,,,القطاع الفدرالي,,,,Федэральная акруга,Федерален окръг,,Distrig kevreadel,Districte Federal,,,Federální distrikt,Bundesdistrikt,,,Federal District,Federacia Distrikto,Distrito Federal,Liiduringkond,Barruti Federala,منطقه فدرال,District fédéral,,,,המחוז הפדרלי,,Federalni distrikt,Դաշնային շրջան,Districto Federal,Distrik Federal,,Distretto Federale,連邦直轄区,ფედერალური ოლქი,,연방구,,,Ranndir an Kesunyans,,Pagus Foederalis,Federalinė teritorija,Federālais distrikts,Федерален округ,,,शासकीय जिल्हा,Wilayah Persekutuan,,Federaal District,Districte federal,Федералон зылд,,Dystrykt Federalny,Distrito Federal,Tantasqap,Districtul Federal,Федеральный округ,,Federalni distrikt,Distrikti Federal,Савезни дистрикт,Federala distrikt,,Савезни дистрикт,เฟเดอรัลดิสตริกต์,,Federal Bölge,,,Федеральний округ,,Federal okrugi,Quận liên bang,,,,聯邦區,O censo e muitas pessoas chamam o DF de Brasília.,state,DF,DF,IBGE,,America/Sao_Paulo,boundary,http://www.df.gov.br/,Q119158,pt:Distrito Federal (Brasil)
